backlink,status_code,is_doFollow,is_exist,target_url,position,anchor_text,anchor_type,externalLinks,hasManyBacklinks,ip,countryCode,country,from_spam_heavy_country,rank,pagerank,backlink_rank,page_rank,domain_rank,AlexaTrafficRank,AlexaReach,AlexaRank,AlexaRankCountry,AlexaRankCountryCode,page_number,source_file,target_domain,source_domain,anchor_length,is_spam_country,is_active,has_good_anchor,Metric,Value
https://ordidja.blogspot.com/2014/03/eua-derrotados-na-oea-pela-venezuela.html,200.0,True,True,https://cafenapolitica.com,body,Por: FC Leite Filho*,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,ordidja.blogspot.com,20,False,True,True,,
https://ordidja.blogspot.com/2014/02/venezuela-e-proxima-vitima-dos-eua.html,200.0,True,True,https://cafenapolitica.com,body,Sobre o livro A Segunda Guerra Fria,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,ordidja.blogspot.com,35,False,True,True,,
https://crabastos.blogspot.com/2012/04/,200.0,True,True,https://cafenapolitica.com,body,cafenapolitica.com.,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,crabastos.blogspot.com,19,False,True,True,,
https://crabastos.blogspot.com/2012/04/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?p=5816,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,crabastos.blogspot.com,45,False,True,True,,
https://hiphopgerais.blogspot.com/2010/03/ira-surpreende-com-satelite.html,200.0,True,True,https://cafenapolitica.com,body,http://hiphopgerais.blogspot.com/2010/03/ira-surpreende-com-satelite.html,image,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,hiphopgerais.blogspot.com,73,False,True,True,,
https://blogdomagnodantas.blogspot.com/2014/09/moniz-bandeira-diz-que-candidatura-de.html,200.0,True,True,https://cafenapolitica.com,body,blog Café na Política,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,blogdomagnodantas.blogspot.com,21,False,True,True,,
https://kompromat100.info/dom-id-1fd00eaec71e1c71cd05a7a06419c416.html,200.0,True,True,https://cafenapolitica.com,body,cafenapolitica.com,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,kompromat100.info,18,False,True,True,,
http://www.maurosantayana.com/2012/04/,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/develop/?tag=argentina,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,www.maurosantayana.com,52,False,True,True,,
https://marivalton.blogspot.com/2013/03/o-ira-avanca-brasil-deveria-imitar.html,200.0,True,True,https://cafenapolitica.com,body,Café na Política,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,marivalton.blogspot.com,16,False,True,True,,
https://maranauta.blogspot.com/2015/05/a-espanha-em-vias-de-tornar-se.html,200.0,True,True,https://cafenapolitica.com,body,http://www.cafenapolitica.com/a-espanha-em-vias-de-tornar-se-bolivariana/,anchor,,False,,,,False,,,,,,,,,,,4.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,maranauta.blogspot.com,73,False,True,True,,
https://maranauta.blogspot.com/2015/05/a-espanha-em-vias-de-tornar-se.html,200.0,True,True,https://cafenapolitica.com,body,Por FC Leite Filho,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,maranauta.blogspot.com,18,False,True,True,,
https://comunidadesulamericana.blogspot.com/2013/04/,200.0,True,True,https://cafenapolitica.com,body,Nicolás Maduro atravessou o Rubicão,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,comunidadesulamericana.blogspot.com,35,False,True,True,,
https://comunidadesulamericana.blogspot.com/2013/04/,200.0,True,True,https://cafenapolitica.com,body,Conheça a violência na Venezuela,anchor,,False,,,,False,,,,,,,,,,,5.0,cafenapolitica_com_backlinks_async.csv,cafenapolitica,comunidadesulamericana.blogspot.com,32,False,True,True,,
